Journal ID, Journal Name, At least one reviewer, At least one peer reviewer recommendation, Editorial Decision, At least one copyediting file, Proofreading activity, # issues published since 1/1/2012, Date last published, # reviewers enrolled, # editors enrolled, # section editors enrolled
26,"Mester",65,61,308,65,11,52,2012-12-10 10:58:34,43,6,3
27,"The Proceedings of the UCLA Department of Spanish and Portuguese Graduate Conference",12,12,19,12,2,0,never published,17,16,1
28,"UCLA Historical Journal",2,2,377,2,0,1,2012-06-12 00:00:00,2,4,11
29,"Archive of the Yiddish Literary Journal Kheshbn",0,0,262,0,0,9,2012-12-12 17:05:55,0,2,0
30,"Western Journal of Emergency Medicine",898,889,1535,898,12,8,2013-02-15 13:03:08,618,13,49
31,"L2 Journal",66,58,78,66,0,2,2012-08-06 10:57:50,184,5,1
32,"Berkeley Review of Education",52,21,69,52,0,1,2012-08-27 00:00:00,256,21,1
33,"Transit",61,57,125,61,0,1,2012-07-26 00:00:00,121,4,1
34,"New Playwrights at UCLA",0,0,0,0,0,0,never published,0,1,0
35,"Lucero",0,0,21,0,0,0,2011-12-07 00:00:00,0,4,2
36,"Berkeley Undergraduate Journal",0,0,247,0,1,3,2013-02-10 12:10:41,213,8,3
37,"Berkeley Scientific Journal",0,0,92,0,0,3,2013-02-04 11:27:59,36,8,2
38,"UCLA Encyclopedia of Egyptology",179,93,80,179,12,0,2008-04-16 00:00:00,412,14,7
39,"San Francisco Estuary and Watershed Science",134,130,167,134,1,4,2012-12-19 09:09:07,543,3,41
40,"Carte Italiane",40,33,57,40,3,0,2011-11-23 00:00:00,45,13,5
41,"California Italian Studies",156,51,207,156,34,2,2012-12-30 10:02:42,365,7,5
42,"Ufahamu: A Journal of African Studies",72,51,52,72,1,0,2011-06-01 00:00:00,65,71,1
43,"New German Review: A Journal of Germanic Studies",3,0,15,3,0,1,2013-01-29 00:00:00,10,11,1
44,"Ethnomusicology Review",28,27,41,28,0,0,never published,59,7,6
45,"Opolis",0,0,0,0,0,0,2006-05-01 00:00:00,0,1,0
46,"California Agriculture",171,163,280,171,0,4,2012-10-25 00:00:00,1014,5,0
47,"Internal Test Journal",9,7,10,9,4,0,2011-12-19 15:58:05,3,2,3
48,"Media Fields Journal",0,0,0,0,0,0,2011-11-29 00:00:00,0,4,0
49,"Berkeley Planning Journal",39,28,301,39,61,20,2012-09-20 00:00:00,56,11,16
50,"nineteen sixty nine: an ethnic studies journal",30,17,26,30,1,1,2012-07-27 16:57:07,16,3,1
51,"Undergraduate Journal of Gender and Women’s Studies",0,0,0,0,0,1,2012-04-16 15:21:45,0,3,2
52,"eScholarship Demonstration Journal",7,6,14,7,3,2,2012-03-23 07:02:26,12,14,6
53,"Berkeley Undergraduate Journal of Classics",0,0,7,0,0,1,2012-09-04 00:00:00,1,2,2
54,"Frontiers of Biogeography",266,248,66,266,24,15,2012-12-31 08:25:36,109,5,24
55,"Translation: A Translation Studies Journal",0,0,0,0,0,0,2011-09-01 00:00:00,0,2,2
56,"DataSphere",0,0,0,0,0,0,never published,0,1,0
57,"Berkeley Chemical Review",0,0,0,0,0,0,never published,0,3,0
58,"Dance Major Journal",0,0,0,0,0,0,never published,0,2,0
59,"Cultural Analysis",0,0,1,0,0,0,never published,0,4,0
60,"Limn",0,0,55,0,0,3,2013-01-29 14:50:09,0,1,0
61,"Dermatology Online Journal",0,0,0,0,0,0,never published,269,7,0
62,"Critical Planning",0,0,3,0,0,0,never published,0,4,0
63,"Chicana/o Latina/o Law Review",0,0,0,0,0,0,never published,0,3,0
64,"New eScholarship Journal Application",6,6,0,6,0,0,never published,6,2,0
